,0,1
662,bought,93
663,bowlsuper,93
664,gamingkids,92
665,bad,92
666,moviethe,92
667,interviewstoday,92
668,tutorialmakeup,92
669,makeupcat,92
670,videoprime,92
671,broke,92
672,pet,91
673,showskitsbitmonologuethe,91
674,land,91
675,jones,91
676,mic,91
677,trainorno,91
678,clock,91
679,harmon,91
680,radio,90
681,grassikirstie,90
682,maldonadoscott,90
683,hoyingavi,90
684,kaplankevinolusolakocellocelloboxbeatboxa,90
685,competitionthe,90
686,idolxfactorthe,90
687,voicevoicepitch,90
688,hollywood,90
689,clarkitsalexclarkalex,90
690,clarkitsalexclark,90
691,itsalexclarkitsalexclark,90
692,clarkalex,90
693,channelalex,90
694,nfl,90
695,hole,90
696,yourselfhow,90
697,force,89
698,theme,89
699,el,89
700,lele,88
701,interview,88
702,coming,88
703,languages,88
704,lauer,88
705,celebrity,88
706,universenerf,88
707,bae,88
708,blood,87
709,champions,87
710,astephen,87
711,edted,87
712,vegan,87
713,idolryanseacrestryan,87
714,seacrestkatyperrykaty,87
715,perrylukebryanluke,87
716,bryanlionelrichielionel,87
717,richieseason,87
718,16american,87
719,idol,87
720,xvitelevisionadspring2018musicrealitycompetitionsongsingauditionauditionsperformancelivefoxaihollywoodcontestantofficialamericanofficial,87
721,idolhollywood,87
722,weekhometown,87
723,glover,87
724,apartment,86
725,challenge,86
726,nightmares,86
727,wild,86
728,maia,86
729,skating,86
730,showjames,86
731,cordencordenlate,86
732,showcomedycomediancelebritycelebcelebritiescbsjokejokesfunnyfunny,86
733,jay,85
734,blue,85
735,slide,85
736,left,85
737,recipeeasy,85
738,makeover,84
739,nicole,84
740,chip,84
741,h,84
742,makehow,84
743,singhyoutube,84
744,channelanimationanimation,84
745,channelanimatedanimated,84
746,noahdaily,84
747,keyskelly,84
748,marinero,84
749,tha,83
750,change,83
751,inanna,83
752,name,83
753,videoanimalsthe,83
754,trailernew,83
755,mystery,83
756,based,83
757,foundation,83
758,wear,82
759,aluminum,82
760,adamadam,82
761,tree,82
762,country,82
763,guava,82
764,takefirst,81
765,versace,81
766,73,81
767,gamphow,81
768,inside,81
769,foodstreet,81
770,dream,81
771,seriesyoutube,81
772,timberlake,81
773,tolaurdiylauren,81
774,khaled,81
775,stoniemegatoadcompetitive,81
776,eatingfood,81
777,challengespeed,81
778,eatingeating,81
779,garner,81
780,gauntletinfinity,81
781,holiday,80
782,livewwhlbravo,80
783,chicken,80
784,bar,80
785,7,80
786,gonna,80
787,colour,80
788,pick,80
789,beasts,80
790,seasonkim,79
791,kardashiane,79
792,drop,79
793,showthe,79
794,merry,79
795,light,79
796,9,79
797,review,78
798,trailer2018,78
799,happiness,78
800,motion,78
801,evanshot,78
802,protein,78
803,curry,78
804,homeless,78
805,kehlani,78
806,walls,78
807,dailyfirst,77
808,moms,77
809,fooddo,77
810,cutterwilliam,77
811,osmancrappy,77
812,nygaardsafiya,77
813,wrinkle,77
814,newsbreaking,77
815,wont,77
816,cinematic,77
817,movieblack,77
818,gates,77
819,youme,77
820,wintour,76
821,livestephen,76
822,storiespop,76
823,boyfriend,76
824,dallas,76
825,rawwwe,76
826,wish,76
827,award,76
828,yanny,76
829,tofieldsimon,75
830,speed,75
831,challengetry,75
832,recipesfitnesslifestyletoday,75
833,bang,75
834,neistat,75
835,animationblack,75
836,paper,75
837,lights,75
838,eminem,75
839,coverage,75
840,bush,75
841,smithwillsmithsmithswillsmithwill,75
842,channelchannel,75
843,willsmith,75
844,smallest,75
845,nueva,75
846,brady,75
847,15,75
848,dresses,75
849,nursery,75
850,cohentalkshowprogrambravowatch,74
851,showcolbertlate,74
852,colbertcomedymonologuecomedianimpressionscelebritiescarpoolkaraokecbslate,74
853,showcordenjokejokesfunnyfunny,74
854,kharebuzzfeed,74
855,tutorialhow,74
856,grand,74
857,hall,74
858,babish,74
859,gamppyolanda,74
860,itcakescakesugar,74
861,starshow,74
862,sinseverything,74
863,long,74
864,kit,74
865,men,74
866,neutrality,74
867,meal,74
868,booksnerdgeeksuperherosuper,74
869,glass,74
870,tvbyutelevisionstudio,74
871,cstudioccomedysketch,74
872,assistant,74
873,sheeran,73
874,gift,73
875,camerathe,73
876,makeupdrugstore,73
877,nassar,73
878,harmony,73
879,dolla,73
880,eversmosh,73
881,movies,73
882,washington,73
883,sang,73
884,nuh,73
885,faced,73
886,cameron,73
887,43episode,72
888,espnespn,72
889,surface,72
890,latest,72
