,0,1
745,feels,51
746,lyrics,51
747,return,51
748,rock,51
749,khaled,51
750,steve,50
751,champions,50
752,thinks,50
753,winter,50
754,merry,50
755,90,50
756,ybn,50
757,hole,50
758,jane,50
759,justin,50
760,brian,50
761,60th,50
762,jeday,50
763,class,49
764,child,49
765,sam,49
766,weekend,49
767,audition,49
768,kimmel,49
769,reaction,49
770,jones,49
771,tips,49
772,weird,49
773,burn,49
774,salaam,49
775,mayer,49
776,presents,49
777,bill,49
778,musical,49
779,peter,49
780,tpain,49
781,eminem,49
782,tyler,49
783,ahead,49
784,nerdist,49
785,chainz,49
786,shadow,49
787,velvet,48
788,could,48
789,plays,48
790,tanya,48
791,billy,48
792,asian,48
793,guts,48
794,switch,48
795,beat,48
796,right,48
797,dragons,48
798,jackson,48
799,june,48
800,miranda,48
801,royale,48
802,without,48
803,afrojack,48
804,true,48
805,rumors,48
806,smallest,48
807,boys,48
808,slide,48
809,ronaldo,48
810,everybody,48
811,teyana,48
812,gymnastics,47
813,dion,47
814,woman,47
815,rooster,47
816,markle,47
817,base,47
818,facts,47
819,kitchen,47
820,chat,47
821,wind,47
822,bonita,47
823,heavy,47
824,chunli,47
825,wake,46
826,saturday,46
827,box,46
828,rihanna,46
829,shawn,46
830,vanity,46
831,takes,46
832,change,46
833,reviewed,46
834,sremmurd,46
835,prince,46
836,rida,46
837,fry,46
838,fate,46
839,runner,46
840,english,46
841,29,46
842,khabib,46
843,motion,46
844,bob,46
845,fake,46
846,doesnt,46
847,lazy,46
848,somebody,46
849,tide,46
850,picture,46
851,natti,46
852,lennox,46
853,87c,46
854,videoflorence,46
855,ive,45
856,amas,45
857,going,45
858,manson,45
859,upon,45
860,gift,45
861,road,45
862,office,45
863,spot,45
864,jurassic,45
865,mind,45
866,rhapsody,45
867,hunter,45
868,ring,45
869,backlash,45
870,doctor,45
871,wall,45
872,watches,45
873,thinking,45
874,mitchell,45
875,워너원,45
876,disneys,45
877,100,45
878,team,44
879,ben,44
880,players,44
881,mcgregor,44
882,lets,44
883,internet,44
884,plan,44
885,gaga,44
886,sandwich,44
887,katana,44
888,nbc,44
889,content,44
890,advice,44
891,trust,44
892,ridley,44
893,rim,44
894,al,44
895,finale,44
896,mayweather,44
897,tmz,44
898,deleted,44
899,childish,44
900,cloverfield,44
901,paradox,44
902,kpop,44
903,staff,44
904,madrid,44
905,fit,44
906,loud,44
907,crush,43
908,title,43
909,unboxing,43
910,festive,43
911,mirror,43
912,pratt,43
913,side,43
914,handle,43
915,finals,43
916,close,43
917,fly,43
918,수지,43
919,amen,43
920,monster,43
921,trans,43
922,tiny,43
923,wrld,43
924,mane,42
925,nowhere,42
926,responds,42
927,sexual,42
928,quiet,42
929,luis,42
930,ryan,42
931,attack,42
932,fear,42
933,seat,42
934,ebro,42
935,ronan,42
936,zelda,42
937,annemarie,42
938,diddy,42
939,tax,42
940,burst,42
941,hardy,42
942,durk,42
943,blige,42
944,rebels,42
945,uprising,42
946,saoirse,42
947,normani,42
948,danny,42
949,vacation,42
950,ramsey,42
951,ultimate,41
952,superhero,41
953,mattel,41
954,card,41
955,wore,41
956,spring,41
957,gallagher,41
958,16,41
959,diss,41
960,something,41
961,4k,41
962,ross,41
963,2049,41
964,shades,41
965,nick,41
966,antman,41
967,wasp,41
968,discusses,41
969,amazon,41
970,offset,41
971,cena,41
972,stories,41
973,pump,41
974,mad,40
975,british,40
976,chelsea,40
977,pictures,40
978,videoa,40
979,boat,40
980,birth,40
981,dying,40
982,children,40
983,youtubers,40
984,old,40
985,jan,40
986,st,40
987,halsey,40
988,sober,40
989,round,40
990,ride,40
991,dick,40
992,clarks,40
993,50,40
994,times,40
995,boyz,40
996,selena,40
997,body,40
998,chapter,40
999,showman,40
